id,title,description,availability,condition,price,sale_price,link,image_link,brand,fb_product_category,gender,age_group,material,rich_text_description
2965,"Білий кварц","Білий кварц:      	здатний принести удачу;  	наділити власника мудрістю та спокоєм;  	допомогти відновити мир у сім&#39;ї.      Приймаємо індивідуальні замовлення, можна без фурнітури або з іншою підвіскою.    Робимо індивідуально за обсягом Вашого зап&#39;ястя.    Для індивідуального замовлення пишіть нам Telegram, Instagram, Viber  або залиште повідомлення на сайті, ми із задоволенням проконсультуємо Вас докладніше","in stock",new,"790 UAH",,http://localhost:8080/product/zakazy-klientov/2965-belyy-kvarc,http://localhost:8080/files/media_image/2025/01/6781174a09495_img-5683.JPG,"Naturalstones Jewerly","Ювелирные украшения и часы > Ювелирные изделия",unisex,"all ages",Кварц,"<p><b>Білий кварц:</b></p>    <ul>  	<li>здатний принести удачу;</li>  	<li>наділити власника мудрістю та спокоєм;</li>  	<li>допомогти відновити мир у сім&#39;ї.</li>  </ul>    <p><b>Приймаємо індивідуальні замовлення, можна без фурнітури або з іншою підвіскою.</b></p>    <p><b>Робимо індивідуально за обсягом Вашого зап&#39;ястя.</b></p>    <p><b>Для індивідуального замовлення пишіть нам Telegram, Instagram, Viber<br />  або залиште повідомлення на сайті, ми із задоволенням проконсультуємо Вас докладніше</b></p>"
2964,"Рожевий кварц, Цукровий кварц","Рожевий кварц підходить людям, які потрапили у такі складні ситуації:      	розлади в сім&#39;ї - мінерал здатний відновити взаєморозуміння та повагу в сімейній ідилії, повернути в неї пристрасть та любов;  	складна вагітність - жінки в очікуванні дива намагаються максимально захистити себе від пристріту та інших неприємностей, і в такій ситуації підійде рожевий мінерал як оберег;  	безсоння, особливо дитяче - якщо повісити мінерал над ліжечком, сон буде міцним і солодким;  	складності в особистому житті у дівчат &mdash; вважається, що самоцвіт допомагає незаміжнім дівчатам швидко знайти сімейне щастя.      Робимо індивідуально по&nbsp;об&rsquo;єму&nbsp;Вашої&nbsp;ручки.    Приймаємо індивідуальні замовлення, можна без фурнітури або з іншою підвіскою.    Для індивідуального замовлення пишіть нам Telegram, Instagram, Viber  або залиште повідомлення на сайті, ми із задоволенням проконсультуємо Вас докладніше.","in stock",new,"990 UAH",,http://localhost:8080/product/zakazy-klientov/2964-rozovyy-kvarc-saharny-kvarc,http://localhost:8080/files/media_image/2025/01/67810faa845b1_img-5685.JPG,"Naturalstones Jewerly","Ювелирные украшения и часы > Ювелирные изделия",female,"all ages","Рожевий кварц, Цукровий кварц, Срібло","<p><strong>Рожевий кварц підходить людям, які потрапили у такі складні ситуації:</strong></p>    <ul>  	<li>розлади в сім&#39;ї - мінерал здатний відновити взаєморозуміння та повагу в сімейній ідилії, повернути в неї пристрасть та любов;</li>  	<li>складна вагітність - жінки в очікуванні дива намагаються максимально захистити себе від пристріту та інших неприємностей, і в такій ситуації підійде рожевий мінерал як оберег;</li>  	<li>безсоння, особливо дитяче - якщо повісити мінерал над ліжечком, сон буде міцним і солодким;</li>  	<li>складності в особистому житті у дівчат &mdash; вважається, що самоцвіт допомагає незаміжнім дівчатам швидко знайти сімейне щастя.</li>  </ul>    <p><strong>Робимо індивідуально по&nbsp;об&rsquo;єму&nbsp;Вашої&nbsp;ручки.</strong></p>    <p><strong>Приймаємо індивідуальні замовлення, можна без фурнітури або з іншою підвіскою.</strong></p>    <p><strong>Для індивідуального замовлення пишіть нам Telegram, Instagram, Viber<br />  або залиште повідомлення на сайті, ми із задоволенням проконсультуємо Вас докладніше.</strong></p>"
2963,"Тигрове око, Онікс, Обсидіан, Турмалін","Тигрове око:      	оберігає від пристріту та псування;  	захищає від злих духів, ворогів;  	допомагає привернути увагу.  	Камінь сприяє всім знакам Зодіаку, якщо людина дійсно активна і цілеспрямована.      Робимо індивідуально по&nbsp;об&rsquo;єму&nbsp;Вашої&nbsp;ручки.    Приймаємо індивідуальні замовлення, можна без фурнітури або з іншою підвіскою.    Для індивідуального замовлення пишіть нам Telegram, Instagram, Viber  або залиште повідомлення на сайті, ми із задоволенням проконсультуємо Вас докладніше.","in stock",new,"1790 UAH",,http://localhost:8080/product/muzhskie-izdeliya/2963-tigrovyy-glaz-oniks-obsidian-turmalin,http://localhost:8080/files/media_image/2024/12/675b280ca4786_img-5239.JPG,"Naturalstones Jewerly","Ювелирные украшения и часы > Ювелирные изделия",unisex,"all ages","Онікс, Перламутр, Турмалін, Тигрове око, Обсидіан, Срібло, Золото","<p><strong>Тигрове око:</strong></p>    <ul>  	<li>оберігає від пристріту та псування;</li>  	<li>захищає від злих духів, ворогів;</li>  	<li>допомагає привернути увагу.</li>  	<li>Камінь сприяє всім знакам Зодіаку, якщо людина дійсно активна і цілеспрямована.</li>  </ul>    <p><strong>Робимо індивідуально по&nbsp;об&rsquo;єму&nbsp;Вашої&nbsp;ручки.</strong></p>    <p><strong>Приймаємо індивідуальні замовлення, можна без фурнітури або з іншою підвіскою.</strong></p>    <p><strong>Для індивідуального замовлення пишіть нам Telegram, Instagram, Viber<br />  або залиште повідомлення на сайті, ми із задоволенням проконсультуємо Вас докладніше.</strong></p>"
2962,"Тигрове око","Тигрове око:      	оберігає від пристріту та псування;  	захищає від злих духів, ворогів;  	допомагає привернути увагу.  	Камінь сприяє всім знакам Зодіаку, якщо людина дійсно активна і цілеспрямована.      Робимо індивідуально по&nbsp;об&rsquo;єму&nbsp;Вашої&nbsp;ручки.    Приймаємо індивідуальні замовлення, можна без фурнітури або з іншою підвіскою.    Для індивідуального замовлення пишіть нам Telegram, Instagram, Viber  або залиште повідомлення на сайті, ми із задоволенням проконсультуємо Вас докладніше.","in stock",new,"1790 UAH",,http://localhost:8080/product/muzhskie-izdeliya/2962-tigrovyy-glaz,http://localhost:8080/files/media_image/2024/12/675b267d2b56a_img-5237.JPG,"Naturalstones Jewerly","Ювелирные украшения и часы > Ювелирные изделия",unisex,"all ages","Бурштин, Цитрин, Перламутр, Тигрове око, Срібло","<p><strong>Тигрове око:</strong></p>    <ul>  	<li>оберігає від пристріту та псування;</li>  	<li>захищає від злих духів, ворогів;</li>  	<li>допомагає привернути увагу.</li>  	<li>Камінь сприяє всім знакам Зодіаку, якщо людина дійсно активна і цілеспрямована.</li>  </ul>    <p><strong>Робимо індивідуально по&nbsp;об&rsquo;єму&nbsp;Вашої&nbsp;ручки.</strong></p>    <p><strong>Приймаємо індивідуальні замовлення, можна без фурнітури або з іншою підвіскою.</strong></p>    <p><strong>Для індивідуального замовлення пишіть нам Telegram, Instagram, Viber<br />  або залиште повідомлення на сайті, ми із задоволенням проконсультуємо Вас докладніше.</strong></p>"
2961,"Місячний камінь, Соколине око","Чакра: СВАДХІСТАНА&nbsp; (2 чакра; сакральна)    Елемент: Вода.    Приділити уваги: емоції, Творча реалізація, сексуальність.    Спрямованість дій: сприйнятливість, гнучкість, мінливість.    Що блокує: почуття провини.    Магічні властивості:&nbsp;      	Сприяє змінами та новим починанням;  	приносить щастя в дім  	Підсилює інтуіцію та творчі здібності;  	Розпалює пристрасть;  	﻿﻿Позбавляє енергетичних блоків;  	принесе душевний спокій та умиротворення;  	камінь талісман;  	найправильніше підбирати &laquo;на завдання&raquo; чи інтуїтивно.      Фізичні властивості:      	﻿﻿Зміцнює памʼять;  	﻿﻿Покращує стан шкіри та волосся;  	Сприяє омолодженню;  	﻿﻿Регулює жіночий цикл і полегшує симп;  	﻿﻿Позитивно впливає на фертильність.      Емоційні властивості:      	﻿﻿Дарує емоційну рівновагу  	Пробуджує ніжність та мʼякість;  	Знімає внутрішню напругу та гнів;  	Допомагає при надмірній або недостатній чутливості;  	Наділяє душевним комфортом.      Приймаємо індивідуальні замовлення, можна без фурнітури або з іншою підвіскою.    Робимо індивідуально за обсягом Вашого зап&#39;ястя.    Для індивідуального замовлення пишіть нам Telegram, Instagram, Viber  або залиште повідомлення на сайті, ми із задоволенням проконсультуємо Вас докладніше.","in stock",new,"1790 UAH",,http://localhost:8080/product/muzhskie-izdeliya/2961-lunnyy-kamen-sokolinyy-glaz,http://localhost:8080/files/media_image/2024/12/675b24c3c02b7_img-5233.JPG,"Naturalstones Jewerly","Ювелирные украшения и часы > Ювелирные изделия",unisex,"all ages","Перламутр, Місячний камінь, Соколине око, Срібло","<p><strong>Чакра: СВАДХІСТАНА&nbsp; (2 чакра; сакральна)</strong></p>    <p><strong>Елемент: Вода.</strong></p>    <p><strong>Приділити уваги: емоції, Творча реалізація, сексуальність.</strong></p>    <p><strong>Спрямованість дій: сприйнятливість, гнучкість, мінливість.</strong></p>    <p><strong>Що блокує: почуття провини.<br />  <br />  Магічні властивості:&nbsp;</strong></p>    <ul>  	<li>Сприяє змінами та новим починанням;</li>  	<li>приносить щастя в дім</li>  	<li>Підсилює інтуіцію та творчі здібності;</li>  	<li>Розпалює пристрасть;</li>  	<li>﻿﻿Позбавляє енергетичних блоків;</li>  	<li>принесе душевний спокій та умиротворення;</li>  	<li>камінь талісман;</li>  	<li>найправильніше підбирати &laquo;на завдання&raquo; чи інтуїтивно.</li>  </ul>    <p><strong>Фізичні властивості:</strong></p>    <ul>  	<li>﻿﻿Зміцнює памʼять;</li>  	<li>﻿﻿Покращує стан шкіри та волосся;</li>  	<li>Сприяє омолодженню;</li>  	<li>﻿﻿Регулює жіночий цикл і полегшує симп;</li>  	<li>﻿﻿Позитивно впливає на фертильність.</li>  </ul>    <p><strong>Емоційні властивості:</strong></p>    <ul>  	<li>﻿﻿Дарує емоційну рівновагу</li>  	<li>Пробуджує ніжність та мʼякість;</li>  	<li>Знімає внутрішню напругу та гнів;</li>  	<li>Допомагає при надмірній або недостатній чутливості;</li>  	<li>Наділяє душевним комфортом.</li>  </ul>    <p><strong>Приймаємо індивідуальні замовлення, можна без фурнітури або з іншою підвіскою.</strong></p>    <p><strong>Робимо індивідуально за обсягом Вашого зап&#39;ястя.</strong></p>    <p><strong>Для індивідуального замовлення пишіть нам Telegram, Instagram, Viber<br />  або залиште повідомлення на сайті, ми із задоволенням проконсультуємо Вас докладніше.</strong></p>"
2960,Нефрит,"Властивості нефриту:      	спрямовувати та коригувати життєвий шлях на краще, до позитивних змін, знаходити вихід із тупикових ситуацій;  	умиротворювати та заспокоювати, позбавляти зайвих емоцій, розвивати логічне мислення та інтелект, вселяти впевненість;  	заглянути вглиб себе, зосередитись, зрозуміти свої цілі в житті, виявити приховані таланти (особливо зелений нефрит);  	пробуджувати найкращі якості та чесноти: порядність, справедливість, мужність, милосердя, терпіння;  	добиватися поставленої мети, матеріального благополуччя;  	виявляти мудрість у словах та вчинках;  	захищати від пристріту та негативної енергії не тільки людину, а й її будинок.      Приймаємо індивідуальні замовлення, можна без фурнітури або з іншою підвіскою.    Робимо індивідуально за обсягом Вашого зап&#39;ястя.    Для індивідуального замовлення пишіть нам Telegram, Instagram, Viber  або залиште повідомлення на сайті, ми із задоволенням проконсультуємо Вас докладніше.","in stock",new,"760 UAH",,http://localhost:8080/product/zakazy-klientov/2960-nefrit,http://localhost:8080/files/media_image/2024/12/675b24116a810_img-5243.JPG,"Naturalstones Jewerly","Ювелирные украшения и часы > Ювелирные изделия",unisex,"all ages",Нефрит,"<p><strong>Властивості нефриту:</strong></p>    <ul>  	<li>спрямовувати та коригувати життєвий шлях на краще, до позитивних змін, знаходити вихід із тупикових ситуацій;</li>  	<li>умиротворювати та заспокоювати, позбавляти зайвих емоцій, розвивати логічне мислення та інтелект, вселяти впевненість;</li>  	<li>заглянути вглиб себе, зосередитись, зрозуміти свої цілі в житті, виявити приховані таланти (особливо зелений нефрит);</li>  	<li>пробуджувати найкращі якості та чесноти: порядність, справедливість, мужність, милосердя, терпіння;</li>  	<li>добиватися поставленої мети, матеріального благополуччя;</li>  	<li>виявляти мудрість у словах та вчинках;</li>  	<li>захищати від пристріту та негативної енергії не тільки людину, а й її будинок.</li>  </ul>    <p><strong>Приймаємо індивідуальні замовлення, можна без фурнітури або з іншою підвіскою.</strong></p>    <p><strong>Робимо індивідуально за обсягом Вашого зап&#39;ястя.</strong></p>    <p><strong>Для індивідуального замовлення пишіть нам Telegram, Instagram, Viber<br />  або залиште повідомлення на сайті, ми із задоволенням проконсультуємо Вас докладніше.</strong></p>"
2959,Перламутр,"Перламутр: СВАДХІСТАНА&nbsp; (2 чакра; сакральна)  Елемент:&nbsp;Вода  Приділити максимум уваги: сексуальність, емоції, творчий потенціал.&nbsp;  Спрямованість дії: гнучкість, мінливість, сприйнятливість  Що блокує: почуття провини    Магічні властивості:      	﻿﻿Гармонізує жіночі енергії;  	﻿﻿Допомагає розвинути інтуїцію;  	﻿﻿Береже спокій та щастя в сімʼї;  	наділить&nbsp;свого власника удачею, мудрістю, здоров&#39;ям;  	оберігає&nbsp;господаря та його будинок від злих духів та ворогів.      Фізичні властивості:      	﻿﻿Підтримує при пологах;  	﻿﻿Посилює привабливість та чарівністі;  	﻿﻿Допомагає завагітніти;  	﻿﻿Покращує імунітет та працездатність;  	Зміцнює здоровʼя.      Емоційні властивості:      	﻿﻿Заспокоює;  	﻿﻿Відновлює при виснаженні;  	﻿﻿Долає стрес та тривогу;  	﻿﻿Позбавляє невпевненості у собі.      Робимо індивідуально по&nbsp;об&rsquo;єму&nbsp;Вашої&nbsp;ручки.    Приймаємо індивідуальні замовлення, можна без фурнітури або з іншою підвіскою.    Для індивідуального замовлення пишіть нам Telegram, Instagram, Viber  або залиште повідомлення на сайті, ми із задоволенням проконсультуємо Вас докладніше.","in stock",new,"900 UAH",,http://localhost:8080/product/zakazy-klientov/2959-perlamutr,http://localhost:8080/files/media_image/2024/12/675b236ac56db_img-5005.JPG,"Naturalstones Jewerly","Ювелирные украшения и часы > Ювелирные изделия",female,"all ages","Циркон, Перламутр, Срібло","<p><strong>Перламутр: СВАДХІСТАНА&nbsp; (2 чакра; сакральна)<br />  Елемент:&nbsp;Вода<br />  Приділити максимум уваги: сексуальність, емоції, творчий потенціал.&nbsp;<br />  Спрямованість дії: гнучкість, мінливість, сприйнятливість<br />  Що блокує: почуття провини</strong></p>    <p><strong>Магічні властивості:</strong></p>    <ul>  	<li>﻿﻿Гармонізує жіночі енергії;</li>  	<li>﻿﻿Допомагає розвинути інтуїцію;</li>  	<li>﻿﻿Береже спокій та щастя в сімʼї;</li>  	<li>наділить&nbsp;свого власника удачею, мудрістю, здоров&#39;ям;</li>  	<li>оберігає&nbsp;господаря та його будинок від злих духів та ворогів.</li>  </ul>    <p><strong>Фізичні властивості:</strong></p>    <ul>  	<li>﻿﻿Підтримує при пологах;</li>  	<li>﻿﻿Посилює привабливість та чарівністі;</li>  	<li>﻿﻿Допомагає завагітніти;</li>  	<li>﻿﻿Покращує імунітет та працездатність;</li>  	<li>Зміцнює здоровʼя.</li>  </ul>    <p><strong>Емоційні властивості:</strong></p>    <ul>  	<li>﻿﻿Заспокоює;</li>  	<li>﻿﻿Відновлює при виснаженні;</li>  	<li>﻿﻿Долає стрес та тривогу;</li>  	<li>﻿﻿Позбавляє невпевненості у собі.</li>  </ul>    <p><strong>Робимо індивідуально по&nbsp;об&rsquo;єму&nbsp;Вашої&nbsp;ручки.</strong></p>    <p><strong>Приймаємо індивідуальні замовлення, можна без фурнітури або з іншою підвіскою.</strong></p>    <p><strong>Для індивідуального замовлення пишіть нам Telegram, Instagram, Viber<br />  або залиште повідомлення на сайті, ми із задоволенням проконсультуємо Вас докладніше.</strong></p>"
2958,Перламутр,"Перламутр: СВАДХІСТАНА&nbsp; (2 чакра; сакральна)  Елемент:&nbsp;Вода  Приділити максимум уваги: сексуальність, емоції, творчий потенціал.&nbsp;  Спрямованість дії: гнучкість, мінливість, сприйнятливість  Що блокує: почуття провини    Магічні властивості:      	﻿﻿Гармонізує жіночі енергії;  	﻿﻿Допомагає розвинути інтуїцію;  	﻿﻿Береже спокій та щастя в сімʼї;  	наділить&nbsp;свого власника удачею, мудрістю, здоров&#39;ям;  	оберігає&nbsp;господаря та його будинок від злих духів та ворогів.      Фізичні властивості:      	﻿﻿Підтримує при пологах;  	﻿﻿Посилює привабливість та чарівністі;  	﻿﻿Допомагає завагітніти;  	﻿﻿Покращує імунітет та працездатність;  	Зміцнює здоровʼя.      Емоційні властивості:      	﻿﻿Заспокоює;  	﻿﻿Відновлює при виснаженні;  	﻿﻿Долає стрес та тривогу;  	﻿﻿Позбавляє невпевненості у собі.      Робимо індивідуально по&nbsp;об&rsquo;єму&nbsp;Вашої&nbsp;ручки.    Приймаємо індивідуальні замовлення, можна без фурнітури або з іншою підвіскою.    Для індивідуального замовлення пишіть нам Telegram, Instagram, Viber  або залиште повідомлення на сайті, ми із задоволенням проконсультуємо Вас докладніше.","in stock",new,"1000 UAH",,http://localhost:8080/product/zakazy-klientov/2958-perlamutr,http://localhost:8080/files/media_image/2024/12/675b22d4f36c0_img-5008.JPG,"Naturalstones Jewerly","Ювелирные украшения и часы > Ювелирные изделия",female,"all ages","Циркон, Перламутр, Срібло","<p><strong>Перламутр: СВАДХІСТАНА&nbsp; (2 чакра; сакральна)<br />  Елемент:&nbsp;Вода<br />  Приділити максимум уваги: сексуальність, емоції, творчий потенціал.&nbsp;<br />  Спрямованість дії: гнучкість, мінливість, сприйнятливість<br />  Що блокує: почуття провини</strong></p>    <p><strong>Магічні властивості:</strong></p>    <ul>  	<li>﻿﻿Гармонізує жіночі енергії;</li>  	<li>﻿﻿Допомагає розвинути інтуїцію;</li>  	<li>﻿﻿Береже спокій та щастя в сімʼї;</li>  	<li>наділить&nbsp;свого власника удачею, мудрістю, здоров&#39;ям;</li>  	<li>оберігає&nbsp;господаря та його будинок від злих духів та ворогів.</li>  </ul>    <p><strong>Фізичні властивості:</strong></p>    <ul>  	<li>﻿﻿Підтримує при пологах;</li>  	<li>﻿﻿Посилює привабливість та чарівністі;</li>  	<li>﻿﻿Допомагає завагітніти;</li>  	<li>﻿﻿Покращує імунітет та працездатність;</li>  	<li>Зміцнює здоровʼя.</li>  </ul>    <p><strong>Емоційні властивості:</strong></p>    <ul>  	<li>﻿﻿Заспокоює;</li>  	<li>﻿﻿Відновлює при виснаженні;</li>  	<li>﻿﻿Долає стрес та тривогу;</li>  	<li>﻿﻿Позбавляє невпевненості у собі.</li>  </ul>    <p><strong>Робимо індивідуально по&nbsp;об&rsquo;єму&nbsp;Вашої&nbsp;ручки.</strong></p>    <p><strong>Приймаємо індивідуальні замовлення, можна без фурнітури або з іншою підвіскою.</strong></p>    <p><strong>Для індивідуального замовлення пишіть нам Telegram, Instagram, Viber<br />  або залиште повідомлення на сайті, ми із задоволенням проконсультуємо Вас докладніше.</strong></p>"
2957,Перламутр,"Перламутр: СВАДХІСТАНА&nbsp; (2 чакра; сакральна)  Елемент:&nbsp;Вода  Приділити максимум уваги: сексуальність, емоції, творчий потенціал.&nbsp;  Спрямованість дії: гнучкість, мінливість, сприйнятливість  Що блокує: почуття провини    Магічні властивості:      	﻿﻿Гармонізує жіночі енергії;  	﻿﻿Допомагає розвинути інтуїцію;  	﻿﻿Береже спокій та щастя в сімʼї;  	наділить&nbsp;свого власника удачею, мудрістю, здоров&#39;ям;  	оберігає&nbsp;господаря та його будинок від злих духів та ворогів.      Фізичні властивості:      	﻿﻿Підтримує при пологах;  	﻿﻿Посилює привабливість та чарівністі;  	﻿﻿Допомагає завагітніти;  	﻿﻿Покращує імунітет та працездатність;  	Зміцнює здоровʼя.      Емоційні властивості:      	﻿﻿Заспокоює;  	﻿﻿Відновлює при виснаженні;  	﻿﻿Долає стрес та тривогу;  	﻿﻿Позбавляє невпевненості у собі.      Робимо індивідуально по&nbsp;об&rsquo;єму&nbsp;Вашої&nbsp;ручки.    Приймаємо індивідуальні замовлення, можна без фурнітури або з іншою підвіскою.    Для індивідуального замовлення пишіть нам Telegram, Instagram, Viber  або залиште повідомлення на сайті, ми із задоволенням проконсультуємо Вас докладніше.","in stock",new,"1200 UAH",,http://localhost:8080/product/zakazy-klientov/2957-perlamutr,http://localhost:8080/files/media_image/2024/12/675b21a2c4262_img-5003.JPG,"Naturalstones Jewerly","Ювелирные украшения и часы > Ювелирные изделия",female,"all ages","Перламутр, Срібло, Емаль","<p><strong>Перламутр: СВАДХІСТАНА&nbsp; (2 чакра; сакральна)<br />  Елемент:&nbsp;Вода<br />  Приділити максимум уваги: сексуальність, емоції, творчий потенціал.&nbsp;<br />  Спрямованість дії: гнучкість, мінливість, сприйнятливість<br />  Що блокує: почуття провини</strong></p>    <p><strong>Магічні властивості:</strong></p>    <ul>  	<li>﻿﻿Гармонізує жіночі енергії;</li>  	<li>﻿﻿Допомагає розвинути інтуїцію;</li>  	<li>﻿﻿Береже спокій та щастя в сімʼї;</li>  	<li>наділить&nbsp;свого власника удачею, мудрістю, здоров&#39;ям;</li>  	<li>оберігає&nbsp;господаря та його будинок від злих духів та ворогів.</li>  </ul>    <p><strong>Фізичні властивості:</strong></p>    <ul>  	<li>﻿﻿Підтримує при пологах;</li>  	<li>﻿﻿Посилює привабливість та чарівністі;</li>  	<li>﻿﻿Допомагає завагітніти;</li>  	<li>﻿﻿Покращує імунітет та працездатність;</li>  	<li>Зміцнює здоровʼя.</li>  </ul>    <p><strong>Емоційні властивості:</strong></p>    <ul>  	<li>﻿﻿Заспокоює;</li>  	<li>﻿﻿Відновлює при виснаженні;</li>  	<li>﻿﻿Долає стрес та тривогу;</li>  	<li>﻿﻿Позбавляє невпевненості у собі.</li>  </ul>    <p><strong>Робимо індивідуально по&nbsp;об&rsquo;єму&nbsp;Вашої&nbsp;ручки.</strong></p>    <p><strong>Приймаємо індивідуальні замовлення, можна без фурнітури або з іншою підвіскою.</strong></p>    <p><strong>Для індивідуального замовлення пишіть нам Telegram, Instagram, Viber<br />  або залиште повідомлення на сайті, ми із задоволенням проконсультуємо Вас докладніше.</strong></p>"
2956,"Місячний камінь, Кошаче око, Аквамарин","Чакра: СВАДХІСТАНА&nbsp; (2 чакра; сакральна)    Елемент: Вода.    Приділити уваги: емоції, Творча реалізація, сексуальність.    Спрямованість дій: сприйнятливість, гнучкість, мінливість.    Що блокує: почуття провини.    Магічні властивості:&nbsp;      	Сприяє змінами та новим починанням;  	приносить щастя в дім  	Підсилює інтуіцію та творчі здібності;  	Розпалює пристрасть;  	﻿﻿Позбавляє енергетичних блоків;  	принесе душевний спокій та умиротворення;  	камінь талісман;  	найправильніше підбирати &laquo;на завдання&raquo; чи інтуїтивно.      Фізичні властивості:      	﻿﻿Зміцнює памʼять;  	﻿﻿Покращує стан шкіри та волосся;  	Сприяє омолодженню;  	﻿﻿Регулює жіночий цикл і полегшує симп;  	﻿﻿Позитивно впливає на фертильність.      Емоційні властивості:      	﻿﻿Дарує емоційну рівновагу  	Пробуджує ніжність та мʼякість;  	Знімає внутрішню напругу та гнів;  	Допомагає при надмірній або недостатній чутливості;  	Наділяє душевним комфортом.      Приймаємо індивідуальні замовлення, можна без фурнітури або з іншою підвіскою.    Робимо індивідуально за обсягом Вашого зап&#39;ястя.    Для індивідуального замовлення пишіть нам Telegram, Instagram, Viber  або залиште повідомлення на сайті, ми із задоволенням проконсультуємо Вас докладніше.","in stock",new,"1090 UAH",,http://localhost:8080/product/muzhskie-izdeliya/2956-lunnyy-kamen-koshachiy-glaz-akvamarin,http://localhost:8080/files/media_image/2024/12/675b1b8a508a5_img-4999.JPG,"Naturalstones Jewerly","Ювелирные украшения и часы > Ювелирные изделия",unisex,"all ages","Аквамарин, Місячний камінь, Кошаче око","<p><strong>Чакра: СВАДХІСТАНА&nbsp; (2 чакра; сакральна)</strong></p>    <p><strong>Елемент: Вода.</strong></p>    <p><strong>Приділити уваги: емоції, Творча реалізація, сексуальність.</strong></p>    <p><strong>Спрямованість дій: сприйнятливість, гнучкість, мінливість.</strong></p>    <p><strong>Що блокує: почуття провини.<br />  <br />  Магічні властивості:&nbsp;</strong></p>    <ul>  	<li>Сприяє змінами та новим починанням;</li>  	<li>приносить щастя в дім</li>  	<li>Підсилює інтуіцію та творчі здібності;</li>  	<li>Розпалює пристрасть;</li>  	<li>﻿﻿Позбавляє енергетичних блоків;</li>  	<li>принесе душевний спокій та умиротворення;</li>  	<li>камінь талісман;</li>  	<li>найправильніше підбирати &laquo;на завдання&raquo; чи інтуїтивно.</li>  </ul>    <p><strong>Фізичні властивості:</strong></p>    <ul>  	<li>﻿﻿Зміцнює памʼять;</li>  	<li>﻿﻿Покращує стан шкіри та волосся;</li>  	<li>Сприяє омолодженню;</li>  	<li>﻿﻿Регулює жіночий цикл і полегшує симп;</li>  	<li>﻿﻿Позитивно впливає на фертильність.</li>  </ul>    <p><strong>Емоційні властивості:</strong></p>    <ul>  	<li>﻿﻿Дарує емоційну рівновагу</li>  	<li>Пробуджує ніжність та мʼякість;</li>  	<li>Знімає внутрішню напругу та гнів;</li>  	<li>Допомагає при надмірній або недостатній чутливості;</li>  	<li>Наділяє душевним комфортом.</li>  </ul>    <p><strong>Приймаємо індивідуальні замовлення, можна без фурнітури або з іншою підвіскою.</strong></p>    <p><strong>Робимо індивідуально за обсягом Вашого зап&#39;ястя.</strong></p>    <p><strong>Для індивідуального замовлення пишіть нам Telegram, Instagram, Viber<br />  або залиште повідомлення на сайті, ми із задоволенням проконсультуємо Вас докладніше.</strong></p>"
